kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
color_max_8.1.sm_61.ptx 40 : 48896 6322272 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 168 : 48837 184810 0 0 0 0 0 0 1527 
color_max_8.1.sm_61.ptx 41 : 48896 4953472 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 169 : 11875 59386 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 42 : 48896 256992 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 43 : 48896 280480 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 44 : 48896 504640 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 172 : 36962 6420025 0 0 0 6104 1527 0 0 
color_max_8.1.sm_61.ptx 45 : 48896 273664 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 62 : 48837 390696 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 116 : 48896 103456 0 0 0 6112 1528 0 0 
color_max_8.1.sm_61.ptx 63 : 48837 9502731 0 0 0 6105 1527 0 0 
color_max_8.1.sm_61.ptx 64 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 65 : 48837 0 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 67 : 48837 244185 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 68 : 48837 395464 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 69 : 48837 12233290 0 0 0 6105 1527 0 0 
color_max_8.1.sm_61.ptx 70 : 48837 12455702 0 0 0 7631 1527 0 0 
color_max_8.1.sm_61.ptx 71 : 48837 244825 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 72 : 48837 5 0 0 0 0 0 0 1 
color_max_8.1.sm_61.ptx 74 : 48836 390944 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 75 : 48836 34337860 0 0 0 6105 1527 0 0 
color_max_8.1.sm_61.ptx 76 : 48836 390784 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 77 : 48836 393088 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 78 : 48836 393344 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 81 : 234544 66905984 0 0 0 172105 23213 0 0 
color_max_8.1.sm_61.ptx 82 : 234544 1172937 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 83 : 234544 1876456 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 84 : 234544 1883382 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 85 : 234544 174511441 0 0 0 205578 23213 0 0 
color_max_8.1.sm_61.ptx 86 : 234544 1177430 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 87 : 234544 0 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 89 : 234544 59331399 0 0 0 172105 23213 0 0 
color_max_8.1.sm_61.ptx 90 : 234544 1172998 0 0 0 0 0 0 0 
color_max_8.1.sm_61.ptx 91 : 234544 13508 0 0 0 0 0 0 2199 
