kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mis.1.sm_61.ptx 148 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 89 : 1920 1775 0 0 0 0 0 0 5 
mis.1.sm_61.ptx 287 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 30 : 384 113408 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 147 : 1920 15360 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 88 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 286 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 29 : 384 113920 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 100 : 1565 12520 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 298 : 823 4115 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 41 : 313 2504 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 146 : 1920 15360 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 87 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 28 : 384 114176 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 101 : 1565 241125 32 0 0 200 50 0 0 
mis.1.sm_61.ptx 299 : 823 1646 0 0 0 123 33 0 0 
mis.1.sm_61.ptx 42 : 313 1565 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 102 : 1565 7825 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 300 : 823 4115 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 43 : 313 626 0 0 0 40 10 0 0 
mis.1.sm_61.ptx 103 : 1565 4115 0 0 0 0 0 0 17 
mis.1.sm_61.ptx 44 : 313 1565 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 310 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 53 : 384 1920 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 180 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 45 : 313 2504 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 172 : 1536 211968 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 105 : 742 3710 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 303 : 429 2145 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 46 : 313 626 0 0 0 40 10 0 0 
mis.1.sm_61.ptx 173 : 1536 211968 0 0 0 0 0 0 0 
