kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
color.1.sm_61.ptx 60 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 61 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 62 : 1252 10016 0 0 0 0 0 0 0 
color.1.sm_61.ptx 63 : 1252 196304 0 0 0 160 40 0 0 
color.1.sm_61.ptx 64 : 1252 6260 0 0 0 0 0 0 0 
color.1.sm_61.ptx 65 : 1252 575 0 0 0 0 0 0 30 
color.1.sm_61.ptx 67 : 1137 5685 0 0 0 0 0 0 0 
color.1.sm_61.ptx 68 : 1137 9215 0 0 0 0 0 0 0 
color.1.sm_61.ptx 69 : 1137 178683 0 0 0 160 40 0 0 
color.1.sm_61.ptx 70 : 1137 179054 0 0 0 196 40 0 0 
color.1.sm_61.ptx 71 : 1137 5685 0 0 0 0 0 0 0 
color.1.sm_61.ptx 72 : 1137 20 0 0 0 0 0 0 4 
color.1.sm_61.ptx 74 : 1133 9064 0 0 0 0 0 0 0 
color.1.sm_61.ptx 75 : 1133 183128 0 0 0 156 40 0 0 
color.1.sm_61.ptx 76 : 1133 9064 0 0 0 0 0 0 0 
color.1.sm_61.ptx 77 : 1133 9064 0 0 0 0 0 0 0 
color.1.sm_61.ptx 78 : 1133 9064 0 0 0 0 0 0 0 
color.1.sm_61.ptx 81 : 11341 1982512 0 0 0 10583 566 0 0 
color.1.sm_61.ptx 82 : 11341 56705 0 0 0 0 0 0 0 
color.1.sm_61.ptx 83 : 11341 90728 0 0 0 0 0 0 0 
color.1.sm_61.ptx 84 : 11341 90785 0 0 0 0 0 0 0 
color.1.sm_61.ptx 85 : 11341 1578503 0 0 0 3496 566 0 0 
color.1.sm_61.ptx 86 : 11341 56705 0 0 0 0 0 0 0 
color.1.sm_61.ptx 87 : 11341 4625 0 0 0 0 0 0 252 
color.1.sm_61.ptx 89 : 10416 1827438 0 0 0 9771 566 0 0 
color.1.sm_61.ptx 90 : 10416 52080 0 0 0 0 0 0 0 
color.1.sm_61.ptx 91 : 10416 0 0 0 0 0 0 0 0 
